datetime_ept,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS
2021-04-01 00:00:00,1.01,0.02,64.8,8.48,100.55
2021-04-01 01:00:00,0.56,0.05,65.69,8.71,100.58
2021-04-01 02:00:00,0.07,0.04,66.78,8.84,100.62
2021-04-01 03:00:00,-0.64,0.05,68.31,8.82,100.68
2021-04-01 04:00:00,-1.39,0.05,69.78,8.81,100.76
2021-04-01 05:00:00,-1.83,0.04,69.98,8.88,100.83
2021-04-01 06:00:00,-1.8,0.07,68.94,9.37,100.92
2021-04-01 07:00:00,-1.6,0.2,68.46,9.63,101.0
2021-04-01 08:00:00,-1.44,0.28,68.51,9.55,101.08
2021-04-01 09:00:00,-0.9,0.15,66.97,9.22,101.13
2021-04-01 10:00:00,-0.15,0.09,64.03,8.91,101.15
2021-04-01 11:00:00,0.37,0.04,62.34,8.76,101.17
2021-04-01 12:00:00,0.72,0.01,61.78,8.46,101.15
2021-04-01 13:00:00,0.96,0.0,61.69,8.03,101.13
2021-04-01 14:00:00,1.09,0.0,61.84,7.5,101.11
2021-04-01 15:00:00,1.03,0.0,62.11,7.02,101.11
2021-04-01 16:00:00,0.82,0.0,62.83,6.47,101.14
2021-04-01 17:00:00,0.38,0.0,65.13,5.52,101.16
2021-04-01 18:00:00,-0.55,0.0,70.62,4.62,101.16
2021-04-01 19:00:00,-0.71,0.0,69.6,4.21,101.18
2021-04-01 20:00:00,-0.72,0.0,67.69,3.64,101.18
2021-04-01 21:00:00,-0.5,0.0,65.07,3.13,101.15
2021-04-01 22:00:00,-0.23,0.0,62.28,2.74,101.15
2021-04-01 23:00:00,0.04,0.0,59.61,2.27,101.15
2021-04-02 00:00:00,0.22,0.0,57.27,1.73,101.16
2021-04-02 01:00:00,0.33,0.0,55.52,1.16,101.16
2021-04-02 02:00:00,0.35,0.0,54.42,0.85,101.18
2021-04-02 03:00:00,0.26,0.0,55.3,1.03,101.19
2021-04-02 04:00:00,0.25,0.0,56.14,1.28,101.22
2021-04-02 05:00:00,0.22,0.0,57.32,1.52,101.24
2021-04-02 06:00:00,0.87,0.0,60.44,2.08,101.27
2021-04-02 07:00:00,1.73,0.0,56.12,3.13,101.29
2021-04-02 08:00:00,2.58,0.0,53.71,3.75,101.31
2021-04-02 09:00:00,3.6,0.0,48.53,3.99,101.32
2021-04-02 10:00:00,4.41,0.0,45.05,4.16,101.27
2021-04-02 11:00:00,5.17,0.0,44.33,4.06,101.17
2021-04-02 12:00:00,5.84,0.0,46.99,3.66,101.06
2021-04-02 13:00:00,6.38,0.0,49.41,3.55,100.91
2021-04-02 14:00:00,6.79,0.0,49.45,3.74,100.78
2021-04-02 15:00:00,7.06,0.0,49.29,4.11,100.68
2021-04-02 16:00:00,7.05,0.0,50.25,4.51,100.61
2021-04-02 17:00:00,6.19,0.0,57.36,4.43,100.54
2021-04-02 18:00:00,5.12,0.0,61.57,5.33,100.5
2021-04-02 19:00:00,4.86,0.0,62.5,6.41,100.48
2021-04-02 20:00:00,4.39,0.0,65.73,7.21,100.46
2021-04-02 21:00:00,3.86,0.0,70.0,7.49,100.43
2021-04-02 22:00:00,3.43,0.0,72.96,7.56,100.4
2021-04-02 23:00:00,3.08,0.0,75.18,7.66,100.37
2021-04-03 00:00:00,2.79,0.0,77.15,8.01,100.33
2021-04-03 01:00:00,2.52,0.0,78.61,8.48,100.28
2021-04-03 02:00:00,2.39,0.0,78.41,8.97,100.23
2021-04-03 03:00:00,2.46,0.0,77.96,9.5,100.15
2021-04-03 04:00:00,2.31,0.0,79.85,9.84,100.08
2021-04-03 05:00:00,2.12,0.0,82.47,10.0,100.03
2021-04-03 06:00:00,2.52,0.0,82.1,10.04,100.0
2021-04-03 07:00:00,3.89,0.0,78.05,9.8,99.96
2021-04-03 08:00:00,6.46,0.0,70.53,10.23,99.93
2021-04-03 09:00:00,8.83,0.0,66.01,9.58,99.88
2021-04-03 10:00:00,10.49,0.0,62.27,8.94,99.81
2021-04-03 11:00:00,11.7,0.0,58.82,8.46,99.76
2021-04-03 12:00:00,12.53,0.0,56.65,8.15,99.71
2021-04-03 13:00:00,13.08,0.0,55.79,7.88,99.67
2021-04-03 14:00:00,13.38,0.0,56.04,7.63,99.64
2021-04-03 15:00:00,13.49,0.0,57.18,7.34,99.64
2021-04-03 16:00:00,13.28,0.0,60.38,6.57,99.66
2021-04-03 17:00:00,12.15,0.0,68.52,5.36,99.69
2021-04-03 18:00:00,10.9,0.0,73.61,4.97,99.73
2021-04-03 19:00:00,10.58,0.0,74.98,4.49,99.78
2021-04-03 20:00:00,10.62,0.0,74.56,3.85,99.81
2021-04-03 21:00:00,10.69,0.0,74.48,3.29,99.84
2021-04-03 22:00:00,10.62,0.0,75.34,2.89,99.85
2021-04-03 23:00:00,10.61,0.0,75.66,2.49,99.88
2021-04-04 00:00:00,10.81,0.0,74.79,1.99,99.9
2021-04-04 01:00:00,11.0,0.0,73.85,1.39,99.9
2021-04-04 02:00:00,11.14,0.0,72.82,0.79,99.91
2021-04-04 03:00:00,10.76,0.0,74.69,0.37,99.93
2021-04-04 04:00:00,10.13,0.0,78.18,0.39,99.95
2021-04-04 05:00:00,9.3,0.0,82.68,0.89,99.97
2021-04-04 06:00:00,8.63,0.0,86.67,1.54,100.0
2021-04-04 07:00:00,8.74,0.0,86.33,2.44,100.01
2021-04-04 08:00:00,9.09,0.0,85.84,2.89,100.03
2021-04-04 09:00:00,10.06,0.0,83.27,3.22,100.03
2021-04-04 10:00:00,12.15,0.0,71.22,3.42,100.0
2021-04-04 11:00:00,14.61,0.0,54.39,3.44,99.94
2021-04-04 12:00:00,15.98,0.0,47.39,3.34,99.86
2021-04-04 13:00:00,16.78,0.0,44.58,3.23,99.78
2021-04-04 14:00:00,17.45,0.0,43.4,3.05,99.67
2021-04-04 15:00:00,17.81,0.0,42.78,3.05,99.58
2021-04-04 16:00:00,17.27,0.0,47.94,3.08,99.52
2021-04-04 17:00:00,15.24,0.0,57.66,3.83,99.47
2021-04-04 18:00:00,13.22,0.0,61.75,4.88,99.46
2021-04-04 19:00:00,12.39,0.0,67.09,5.53,99.49
2021-04-04 20:00:00,11.74,0.0,73.95,5.91,99.5
2021-04-04 21:00:00,11.14,0.0,80.29,6.12,99.49
2021-04-04 22:00:00,10.57,0.0,85.24,6.26,99.46
2021-04-04 23:00:00,10.19,0.0,88.56,6.48,99.44
2021-04-05 00:00:00,9.94,0.06,90.67,6.75,99.4
2021-04-05 01:00:00,9.77,0.38,92.07,6.82,99.37
2021-04-05 02:00:00,9.38,2.51,94.49,6.44,99.34
2021-04-05 03:00:00,9.28,0.34,94.68,6.4,99.3
2021-04-05 04:00:00,9.22,0.06,95.03,6.42,99.26
2021-04-05 05:00:00,9.0,0.0,96.19,5.92,99.28
2021-04-05 06:00:00,9.01,0.0,95.71,5.61,99.28
2021-04-05 07:00:00,9.84,0.0,91.82,5.59,99.28
2021-04-05 08:00:00,11.66,0.0,85.71,5.72,99.27
2021-04-05 09:00:00,14.02,0.0,77.65,6.64,99.23
2021-04-05 10:00:00,15.33,0.0,70.69,7.04,99.19
2021-04-05 11:00:00,15.83,0.04,66.59,6.89,99.15
2021-04-05 12:00:00,16.11,0.13,64.17,6.74,99.11
2021-04-05 13:00:00,16.14,0.25,63.94,6.43,99.08
2021-04-05 14:00:00,15.97,0.26,67.59,5.45,99.07
2021-04-05 15:00:00,16.13,0.16,73.03,3.97,99.1
2021-04-05 16:00:00,16.63,0.13,74.37,2.96,99.06
2021-04-05 17:00:00,16.15,0.06,73.67,3.57,99.04
2021-04-05 18:00:00,14.47,0.04,76.61,4.56,99.04
2021-04-05 19:00:00,13.66,0.02,80.47,5.04,99.08
2021-04-05 20:00:00,13.07,0.02,83.11,5.48,99.09
2021-04-05 21:00:00,12.53,0.0,84.8,6.31,99.08
2021-04-05 22:00:00,12.16,0.0,86.32,7.06,99.07
2021-04-05 23:00:00,11.69,0.01,88.69,7.09,99.06
2021-04-06 00:00:00,11.16,0.09,91.61,6.92,99.05
2021-04-06 01:00:00,10.64,0.1,94.32,6.77,99.03
2021-04-06 02:00:00,10.09,0.22,97.85,6.51,99.02
2021-04-06 03:00:00,9.71,0.24,99.59,6.1,99.03
2021-04-06 04:00:00,9.48,0.17,100.0,5.8,99.03
2021-04-06 05:00:00,9.39,0.13,100.0,5.72,99.05
2021-04-06 06:00:00,9.86,0.0,97.61,5.9,99.08
2021-04-06 07:00:00,10.75,0.0,94.79,5.61,99.09
2021-04-06 08:00:00,12.23,0.0,90.26,5.56,99.09
2021-04-06 09:00:00,14.15,0.0,82.24,6.03,99.07
2021-04-06 10:00:00,15.73,0.0,71.78,6.25,99.03
2021-04-06 11:00:00,16.89,0.0,64.59,6.11,98.98
2021-04-06 12:00:00,17.71,0.0,60.66,5.9,98.91
2021-04-06 13:00:00,18.13,0.0,58.2,5.77,98.84
2021-04-06 14:00:00,18.22,0.0,57.4,5.86,98.8
2021-04-06 15:00:00,17.83,0.0,59.51,6.04,98.79
2021-04-06 16:00:00,17.09,0.0,65.45,5.72,98.82
2021-04-06 17:00:00,16.14,0.0,72.12,5.29,98.86
2021-04-06 18:00:00,15.44,0.0,75.8,4.97,98.89
2021-04-06 19:00:00,14.9,0.0,78.03,4.91,98.9
2021-04-06 20:00:00,13.96,0.0,80.56,5.39,98.91
2021-04-06 21:00:00,13.25,0.0,81.9,6.34,98.93
2021-04-06 22:00:00,12.81,0.0,81.65,7.14,98.94
2021-04-06 23:00:00,12.24,0.0,82.78,6.82,98.95
2021-04-07 00:00:00,11.56,0.0,87.06,6.09,98.97
2021-04-07 01:00:00,10.99,0.0,92.11,5.58,98.99
2021-04-07 02:00:00,10.65,0.0,96.29,5.59,98.97
2021-04-07 03:00:00,10.38,0.0,100.0,5.76,98.96
2021-04-07 04:00:00,10.07,0.0,100.0,5.55,98.94
2021-04-07 05:00:00,10.02,0.0,100.0,5.5,98.93
2021-04-07 06:00:00,10.67,0.33,99.07,5.8,98.93
2021-04-07 07:00:00,11.59,0.02,96.65,5.56,98.92
2021-04-07 08:00:00,12.98,0.01,93.44,5.63,98.9
2021-04-07 09:00:00,14.51,0.32,87.32,5.91,98.86
2021-04-07 10:00:00,15.73,1.28,80.41,6.02,98.8
2021-04-07 11:00:00,16.59,1.71,75.48,6.01,98.73
2021-04-07 12:00:00,17.14,3.65,71.46,6.14,98.64
2021-04-07 13:00:00,17.35,2.92,68.08,6.59,98.55
2021-04-07 14:00:00,17.32,2.53,66.58,6.83,98.48
2021-04-07 15:00:00,16.96,1.92,67.85,6.55,98.46
2021-04-07 16:00:00,16.39,2.26,70.85,6.32,98.45
2021-04-07 17:00:00,15.43,3.64,74.26,6.41,98.45
2021-04-07 18:00:00,14.2,4.38,77.59,6.67,98.44
2021-04-07 19:00:00,13.63,3.93,79.82,6.99,98.46
2021-04-07 20:00:00,13.21,2.04,83.7,6.83,98.47
2021-04-07 21:00:00,12.88,0.17,89.1,6.79,98.45
2021-04-07 22:00:00,12.45,0.16,96.05,6.76,98.41
2021-04-07 23:00:00,12.06,0.63,100.0,6.61,98.37
2021-04-08 00:00:00,12.02,1.79,100.0,6.79,98.31
2021-04-08 01:00:00,11.96,3.1,100.0,6.89,98.23
2021-04-08 02:00:00,11.95,1.57,100.0,6.77,98.15
2021-04-08 03:00:00,11.77,1.36,100.0,6.69,98.08
2021-04-08 04:00:00,11.6,1.25,100.0,6.72,98.09
2021-04-08 05:00:00,11.49,0.65,100.0,6.76,98.1
2021-04-08 06:00:00,11.69,3.67,100.0,7.23,98.08
2021-04-08 07:00:00,12.11,5.97,98.3,7.13,98.04
2021-04-08 08:00:00,12.51,25.9,95.49,6.6,98.0
2021-04-08 09:00:00,12.63,39.45,93.52,6.23,97.95
2021-04-08 10:00:00,12.68,39.15,94.0,5.73,97.89
2021-04-08 11:00:00,12.72,39.39,93.3,5.47,97.85
2021-04-08 12:00:00,12.41,17.6,90.8,5.44,97.87
2021-04-08 13:00:00,11.99,1.9,85.7,5.4,97.89
2021-04-08 14:00:00,12.06,1.62,81.67,4.62,97.91
2021-04-08 15:00:00,12.12,4.28,79.81,4.54,97.92
2021-04-08 16:00:00,11.68,5.07,80.94,5.09,97.95
2021-04-08 17:00:00,10.99,1.8,82.62,5.31,98.0
2021-04-08 18:00:00,10.2,0.71,83.75,5.69,98.05
2021-04-08 19:00:00,9.47,0.4,86.17,5.78,98.12
2021-04-08 20:00:00,8.76,0.46,88.91,5.85,98.16
2021-04-08 21:00:00,8.24,0.41,90.96,6.09,98.17
2021-04-08 22:00:00,8.02,0.41,91.59,6.32,98.16
2021-04-08 23:00:00,7.82,0.31,92.53,6.18,98.14
2021-04-09 00:00:00,7.67,0.51,93.92,5.92,98.12
2021-04-09 01:00:00,7.82,1.18,93.51,6.3,98.08
2021-04-09 02:00:00,8.07,2.12,93.2,6.33,98.04
2021-04-09 03:00:00,8.23,2.07,94.19,6.1,98.03
